t,st,rps_all,rps_solar,rps_wind
2011,CT,0.10999999999999999,0.0,0.0
2012,CT,0.12,0.0,0.0
2013,CT,0.12999671409482236,0.0,0.0
2014,CT,0.14,0.0,0.0
2015,CT,0.155,0.0,0.0
2016,CT,0.17,0.0,0.0
2017,CT,0.185,0.0,0.0
2018,CT,0.21000000000000002,0.0,0.0
2019,CT,0.23500000000000001,0.0,0.0
2020,CT,0.25,0.0,0.0
2021,CT,0.26499999999999996,0.0,0.0
2022,CT,0.27999999999999997,0.0,0.0
2023,CT,0.30000000000000004,0.0,0.0
2024,CT,0.32000000000000006,0.0,0.0
2025,CT,0.3400000000000001,0.0,0.0
2026,CT,0.29,0.0,0.0
2027,CT,0.3,0.0,0.0
2028,CT,0.31000000000000005,0.0,0.0
2029,CT,0.32,0.0,0.0
2030,CT,0.3299999999999999,0.0,0.0
2031,CT,0.32999999999999996,0.0,0.0
2032,CT,0.33,0.0,0.0
2033,CT,0.32999999999999996,0.0,0.0
2034,CT,0.32999999999999996,0.0,0.0
2035,CT,0.32999999999999996,0.0,0.0
2036,CT,0.32999999999999996,0.0,0.0
2037,CT,0.32999999999999996,0.0,0.0
2038,CT,0.33000000000000007,0.0,0.0
2039,CT,0.33,0.0,0.0
2040,CT,0.32999999999999996,0.0,0.0
2041,CT,0.33,0.0,0.0
2042,CT,0.33000000000000007,0.0,0.0
2043,CT,0.33,0.0,0.0
2044,CT,0.33000000000000007,0.0,0.0
2045,CT,0.33000000000000007,0.0,0.0
2046,CT,0.33,0.0,0.0
2047,CT,0.33,0.0,0.0
2048,CT,0.33000000000000007,0.0,0.0
2049,CT,0.33000000000000007,0.0,0.0
2050,CT,0.3300000000000001,0.0,0.0
2010,DE,0.0238657619086165,8.369370246123667e-05,0.0
2011,DE,0.033086030678666625,0.00011011295359251419,0.0
2012,DE,0.045047764143171805,0.0011921182423830796,0.0
2013,DE,0.05620201860620285,0.0024531118310906724,0.0
2014,DE,0.06457789762359063,0.004690451222169979,0.0
2015,DE,0.06733138489549113,0.0067554328399544875,0.0
2016,DE,0.08070689902554279,0.008812713337107066,0.0
2017,DE,0.09386041356065282,0.0108166128795416,0.0
2018,DE,0.09918180357202894,0.01200779264411917,0.0
2019,DE,0.1242746412535663,0.015207902502370026,0.0
2020,DE,0.13857579463432654,0.01743326871121757,0.0
2021,DE,0.13595411370563426,0.01833383895597513,0.0
2022,DE,0.15074043781682592,0.020896398525505382,0.0
2023,DE,0.1732302513423693,0.02438735279597559,0.0
2024,DE,0.1672935077876221,0.02480025877494484,0.0
2025,DE,0.17770953623882252,0.027125521800138344,0.0
2026,DE,0.18766114254951924,0.029281306272006306,0.0
2027,DE,0.19660022844463912,0.032029437036231456,0.0
2028,DE,0.19800813014226326,0.03368095916779223,0.0
2029,DE,0.20228341010876266,0.035710200014399514,0.0
2030,DE,0.20730123081466273,0.037856619737088405,0.0
2031,DE,0.2170363531082201,0.042185442041226706,0.0
2032,DE,0.23312595589612806,0.04854812185633995,0.0
2033,DE,0.2506623692525345,0.05512574982041777,0.0
2034,DE,0.2680536199327891,0.061644302035718176,0.0
2035,DE,0.2950031128138554,0.06996086135761148,0.0
2036,DE,0.3222004227625043,0.0834450549658477,0.0
2037,DE,0.323222171662159,0.08356118325798682,0.0
2038,DE,0.32559799686852137,0.0840402003548534,0.0
2039,DE,0.3243282261858439,0.08362559296393805,0.0
2040,DE,0.32535073525317776,0.08376450855533217,0.0
2041,DE,0.3261086374009667,0.08384969755977231,0.0
2042,DE,0.3271750070369919,0.08402313901461286,0.0
2043,DE,0.3278899283960245,0.08412284337417437,0.0
2044,DE,0.32870067377140444,0.08425665973695919,0.0
2045,DE,0.32900148327902196,0.08427209420555937,0.0
2046,DE,0.32922734811245447,0.08427017329099215,0.0
2047,DE,0.32999587747116815,0.08440737759546102,0.0
2048,DE,0.33044531999261795,0.08447504357574039,0.0
2049,DE,0.33101006958756507,0.08457815487911176,0.0
2050,DE,0.33099465124481825,0.08454194003482822,0.0
2010,IA,0.006508928355116569,0.0,0.0
2011,IA,0.006479044944092172,0.0,0.0
2012,IA,0.006471359094797316,0.0,0.0
2013,IA,0.006326299221463118,0.0,0.0
2014,IA,0.006266703131336814,0.0,0.0
2015,IA,0.006273955113393255,0.0,0.0
2016,IA,0.0061076339787871844,0.0,0.0
2017,IA,0.0060463598818339325,0.0,0.0
2018,IA,0.005776141703323264,0.0,0.0
2019,IA,0.005795097120577281,0.0,0.0
2020,IA,0.0058412481455814395,0.0,0.0
2021,IA,0.005592393996294689,0.0,0.0
2022,IA,0.005457166363598376,0.0,0.0
2023,IA,0.005437474112025827,0.0,0.0
2024,IA,0.005385009861536592,0.0,0.0
2025,IA,0.0050505154981253415,0.0,0.0
2026,IA,0.004941445557009273,0.0,0.0
2027,IA,0.00501885806314005,0.0,0.0
2028,IA,0.005007562344110734,0.0,0.0
2029,IA,0.004999878924761544,0.0,0.0
2030,IA,0.004984980913668336,0.0,0.0
2031,IA,0.004968176744356563,0.0,0.0
2032,IA,0.004934407069670834,0.0,0.0
2033,IA,0.004893974798510401,0.0,0.0
2034,IA,0.00482945326227519,0.0,0.0
2035,IA,0.004758891901149451,0.0,0.0
2036,IA,0.004685645776892722,0.0,0.0
2037,IA,0.004613711306731312,0.0,0.0
2038,IA,0.0045566980400271045,0.0,0.0
2039,IA,0.004495207393463334,0.0,0.0
2040,IA,0.004446799801808828,0.0,0.0
2041,IA,0.004402263138651874,0.0,0.0
2042,IA,0.004362772896800554,0.0,0.0
2043,IA,0.004328772334774126,0.0,0.0
2044,IA,0.00430266734475696,0.0,0.0
2045,IA,0.004275921764982946,0.0,0.0
2046,IA,0.004247000631754038,0.0,0.0
2047,IA,0.004221559781894906,0.0,0.0
2048,IA,0.004198846065835628,0.0,0.0
2049,IA,0.0041800964108303544,0.0,0.0
2050,IA,0.004160794673718549,0.0,0.0
2010,IL,0.02365493909794542,0.0,0.0
2011,IL,0.03242537694259595,0.0,0.0
2012,IL,0.03765699557159935,0.0,0.0
2013,IL,0.04690451053980228,0.0,0.0
2014,IL,0.05352513004350999,0.0,0.0
2015,IL,0.05628625872635811,0.0,0.0
2016,IL,0.04716161488691606,0.0,0.0
2017,IL,0.05681819442888079,0.0,0.0
2018,IL,0.06203446409942152,0.0,0.0
2019,IL,0.1041021381810108,0.0,0.0
2020,IL,0.15165833016114239,0.0,0.0
2021,IL,0.1685921717595472,0.014752258899075207,0.014752258899075207
2022,IL,0.17513247937322135,0.04051920215304011,0.033152074488851005
2023,IL,0.19339766655289822,0.05858600103602547,0.0479340008476572
2024,IL,0.20837430683441777,0.07349902676935705,0.06013556735674667
2025,IL,0.21932422347895153,0.08814259637002937,0.07211666975729676
2026,IL,0.21797913745857647,0.10119214509395559,0.08279357325869094
2027,IL,0.24496536545372763,0.11616220835772008,0.0950418068381346
2028,IL,0.2743771647028371,0.13090899184241742,0.10710735696197789
2029,IL,0.3082961121103698,0.1457684815477058,0.11926512126630476
2030,IL,0.33590550004028913,0.1606004753715482,0.1314003889403576
2031,IL,0.36439473993779586,0.17560063431737877,0.1436732462596735
2032,IL,0.36217124771475323,0.17403578223352217,0.1423929127365181
2033,IL,0.35926632676844483,0.17221357149471156,0.14090201304112762
2034,IL,0.35415121948248224,0.16957645662881138,0.1387443736053911
2035,IL,0.3514969967365131,0.16680570596551914,0.13647739578997017
2036,IL,0.34941549721832915,0.16408174674473425,0.13424870188205526
2037,IL,0.34941331788291047,0.16156814718889065,0.13219212042727416
2038,IL,0.3513565752607244,0.15981212348974738,0.13075537376433877
2039,IL,0.35183759562959543,0.15741758635366435,0.12879620701663447
2040,IL,0.3530144829208449,0.1555245674961307,0.1272473734059251
2041,IL,0.44119696747737386,0.15380942981495413,0.1258440789395079
2042,IL,0.44348331681751796,0.1522899546833169,0.1246008720136229
2043,IL,0.44504237416968345,0.1509875323571479,0.12353525374675736
2044,IL,0.44706260663874775,0.15000026609530812,0.12272749044161572
2045,IL,0.4487494693645687,0.14907881322227184,0.12197357445458602
2046,IL,0.44944712638838236,0.1480336395059202,0.12111843232302559
2047,IL,0.4496231944359729,0.14712329998921828,0.12037360908208765
2048,IL,0.44999066688353073,0.14633902406425361,0.11973192877984386
2049,IL,0.45119628312112825,0.14570238182994294,0.1192110396790442
2050,IL,0.45175546995872246,0.1449858432208707,0.11862478081707602
2010,KS,0.0,0.0,0.0
2011,KS,0.07036047758206293,0.0,0.0
2012,KS,0.07206912463735446,0.0,0.0
2013,KS,0.07430519614856887,0.0,0.0
2014,KS,0.07262776476014446,0.0,0.0
2015,KS,0.0,0.0,0.0
2016,KS,0.0,0.0,0.0
2017,KS,0.0,0.0,0.0
2018,KS,0.0,0.0,0.0
2019,KS,0.0,0.0,0.0
2020,KS,0.0,0.0,0.0
2021,KS,0.0,0.0,0.0
2022,KS,0.0,0.0,0.0
2023,KS,0.0,0.0,0.0
2024,KS,0.0,0.0,0.0
2025,KS,0.0,0.0,0.0
2026,KS,0.0,0.0,0.0
2027,KS,0.0,0.0,0.0
2028,KS,0.0,0.0,0.0
2029,KS,0.0,0.0,0.0
2030,KS,0.0,0.0,0.0
2031,KS,0.0,0.0,0.0
2032,KS,0.0,0.0,0.0
2033,KS,0.0,0.0,0.0
2034,KS,0.0,0.0,0.0
2035,KS,0.0,0.0,0.0
2036,KS,0.0,0.0,0.0
2037,KS,0.0,0.0,0.0
2038,KS,0.0,0.0,0.0
2039,KS,0.0,0.0,0.0
2040,KS,0.0,0.0,0.0
2041,KS,0.0,0.0,0.0
2042,KS,0.0,0.0,0.0
2043,KS,0.0,0.0,0.0
2044,KS,0.0,0.0,0.0
2045,KS,0.0,0.0,0.0
2046,KS,0.0,0.0,0.0
2047,KS,0.0,0.0,0.0
2048,KS,0.0,0.0,0.0
2049,KS,0.0,0.0,0.0
2050,KS,0.0,0.0,0.0
2010,MA,0.07406176839178266,0.0006013446082337743,0.0
2011,MA,0.08239223927974329,0.0014217459036802206,0.0
2012,MA,0.09230531420596988,0.0014827363270890994,0.0
2013,MA,0.08264652547179192,0.0034445187503430014,0.0
2014,MA,0.09348921583971041,0.009387437049476586,0.0
2015,MA,0.10461344087596096,0.022682118310053793,0.0
2016,MA,0.11773076951837906,0.023777368070422234,0.0
2017,MA,0.12693296623373612,0.044268379721470824,0.0
2018,MA,0.13564159876263357,0.05645011456800901,0.0
2019,MA,0.14289671603087836,0.060607870974902216,0.0
2020,MA,0.17043190303009081,0.0700316175290056,0.0
2021,MA,0.19133048090713056,0.0795454299676874,0.0
2022,MA,0.20925857793012648,0.08528504646187848,0.0
2023,MA,0.22595690696987122,0.08207963292017884,0.0
2024,MA,0.24483299894270377,0.07552054401109883,0.0
2025,MA,0.2697926586936127,0.07297714443442192,0.0
2026,MA,0.2977914411053104,0.07574452920582449,0.0
2027,MA,0.32440372359908254,0.08230149530622456,0.0
2028,MA,0.3510160060928547,0.08569768662916918,0.0
2029,MA,0.37762828858662684,0.08888114163247811,0.0
2030,MA,0.3864990494178843,0.09209212297475504,0.0
2031,MA,0.3953698102491417,0.09508669588909897,0.0
2032,MA,0.4042405710803991,0.09758363233656166,0.0
2033,MA,0.4131113319116564,0.09968002686620628,0.0
2034,MA,0.4219820927429139,0.10144711092837493,0.0
2035,MA,0.4308528535741713,0.10300056957132098,0.0
2036,MA,0.4397236144054286,0.10453126863846468,0.0
2037,MA,0.448594375236686,0.10619615634963188,0.0
2038,MA,0.4574651360679435,0.1072953933725425,0.0
2039,MA,0.4663358968992008,0.1058024955410116,0.0
2040,MA,0.47520665773045817,0.10448298920499355,0.0
2041,MA,0.4840774185617155,0.10322093437032821,0.0
2042,MA,0.49294817939297303,0.10277779477603573,0.0
2043,MA,0.5018189402242305,0.10203447301339011,0.0
2044,MA,0.5106897010554879,0.10138165194737028,0.0
2045,MA,0.5195604618867451,0.10077423573960258,0.0
2046,MA,0.5284312227180027,0.10016011796388587,0.0
2047,MA,0.5373019835492601,0.09969154661823192,0.0
2048,MA,0.5461727443805174,0.09932511814945752,0.0
2049,MA,0.5550435052117748,0.09910681025012147,0.0
2050,MA,0.5639142660430322,0.09867827168770626,0.0
2010,MD,0.05381134563936435,0.0006232483744567086,0.0
2011,MD,0.07152989559613762,0.0010010225554662484,0.0
2012,MD,0.08595428010677943,0.001535813832387207,0.0
2013,MD,0.10201705514149403,0.00266903259882593,0.0
2014,MD,0.12173408253519541,0.003590936149925436,0.0
2015,MD,0.1254979617868896,0.0048798603936135625,0.0
2016,MD,0.14584851279259928,0.006613460808076052,0.0
2017,MD,0.15090777381808856,0.010211449011951656,0.0
2018,MD,0.17517284987220888,0.013083769314897657,0.0
2019,MD,0.21830628107486785,0.04451703269182839,0.0
2020,MD,0.2819152336041596,0.05063560749302431,0.0
2021,MD,0.31436343582560156,0.062538436616252,0.0
2022,MD,0.3177909758761681,0.047548297511165356,0.0
2023,MD,0.34153636024100065,0.05194880732297703,0.0
2024,MD,0.36321135471370475,0.05597917614144731,0.00020212732448460303
2025,MD,0.38712842674185777,0.05907035384398339,0.013876280770184666
2026,MD,0.41446677946126803,0.06611917055793132,0.021808634092270032
2027,MD,0.45001354478556393,0.07684558730870931,0.10798648322055959
2028,MD,0.470756543607448,0.08932498090544994,0.1079864832205596
2029,MD,0.5349929598079665,0.10189015256289277,0.10798648322055959
2030,MD,0.5495515385998613,0.11819527596296736,0.10798648322055962
2031,MD,0.5599539312646074,0.11919708115319946,0.10798648322055959
2032,MD,0.5689201063183246,0.12031709658251931,0.1079864832205596
2033,MD,0.5690144026448972,0.12137365776868772,0.10798648322055959
2034,MD,0.5691213533325324,0.1224428733159189,0.10798648322055958
2035,MD,0.5692272541986805,0.12358505941547804,0.10798648322055959
2036,MD,0.5693212474438142,0.12464131752020764,0.10798648322055958
2037,MD,0.5694064884819333,0.12568882341792262,0.10798648322055959
2038,MD,0.5694616185221286,0.12678023869152896,0.10798648322055959
2039,MD,0.5695407299829859,0.12782161501198225,0.10798648322055959
2040,MD,0.5696104930923213,0.12885364298091354,0.10798648322055958
2041,MD,0.569674373646536,0.12995380876853918,0.10798648322055958
2042,MD,0.5697275718388476,0.13000700696085088,0.10798648322055958
2043,MD,0.5697745848756594,0.13005401999766253,0.10798648322055959
2044,MD,0.5698136947767483,0.13009312989875133,0.10798648322055958
2045,MD,0.5698516298471015,0.13013106496910448,0.1079864832205596
2046,MD,0.5698893627714463,0.13016879789344948,0.10798648322055959
2047,MD,0.569919346444093,0.1301987815660962,0.1079864832205596
2048,MD,0.5699454882969798,0.1302249234189831,0.10798648322055958
2049,MD,0.5699659556010424,0.13024539072304547,0.10798648322055956
2050,MD,0.5699882627656399,0.13026769788764317,0.10798648322055958
2010,ME,0.31308866046532036,0.0,0.0
2011,ME,0.3510433838190474,0.0,0.0
2012,ME,0.35569334386439994,0.0,0.0
2013,ME,0.37174920008460566,0.0,0.0
2014,ME,0.38620896225099616,0.0,0.0
2015,ME,0.39029213113499484,0.0,0.0
2016,ME,0.40017781457520135,0.0,0.0
2017,ME,0.41333204244490696,0.0,0.0
2018,ME,0.4051353150776941,0.0,0.0
2019,ME,0.40568055073334147,0.0,0.0
2020,ME,0.4371518871931172,0.0,0.0
2021,ME,0.4598965873386648,0.0,0.0
2022,ME,0.4887617632503287,0.0,0.0
2023,ME,0.5062428370742185,0.0,0.0
2024,ME,0.542407463926183,0.0,0.0
2025,ME,0.5779717466435469,0.0,0.0
2026,ME,0.6143428308141868,0.0,0.0
2027,ME,0.6492755697064648,0.0,0.0
2028,ME,0.685459019999543,0.0,0.0
2029,ME,0.7217104778781246,0.0,0.0
2030,ME,0.7669979355136263,0.0,0.0
2031,ME,0.7764184790340721,0.0,0.0
2032,ME,0.7860548429627571,0.0,0.0
2033,ME,0.7958713582400068,0.0,0.0
2034,ME,0.805827720303068,0.0,0.0
2035,ME,0.8158596149088867,0.0,0.0
2036,ME,0.8258807415024831,0.0,0.0
2037,ME,0.8358197458851759,0.0,0.0
2038,ME,0.8456663062514022,0.0,0.0
2039,ME,0.8555096651222002,0.0,0.0
2040,ME,0.8652985871317473,0.0,0.0
2041,ME,0.8659029588232344,0.0,0.0
2042,ME,0.8661151691161718,0.0,0.0
2043,ME,0.8664711303776552,0.0,0.0
2044,ME,0.8667837527464077,0.0,0.0
2045,ME,0.8670746316772133,0.0,0.0
2046,ME,0.8673687198488896,0.0,0.0
2047,ME,0.8675931088761938,0.0,0.0
2048,ME,0.86776858381389,0.0,0.0
2049,ME,0.86787312690565,0.0,0.0
2050,ME,0.8680783450694892,0.0,0.0
2010,MI,0.0,0.0,0.0
2011,MI,0.0,0.0,0.0
2012,MI,0.033180767482067115,0.0,0.0
2013,MI,0.046564339929746526,0.0,0.0
2014,MI,0.05698698334944067,0.0,0.0
2015,MI,0.09282983406124286,0.0,0.0
2016,MI,0.09106339826449011,0.0,0.0
2017,MI,0.0933589670031634,0.0,0.0
2018,MI,0.09071794470610682,0.0,0.0
2019,MI,0.11729572706139937,0.0,0.0
2020,MI,0.12241935311455206,0.0,0.0
2021,MI,0.138704692693707,0.0,0.0
2022,MI,0.13482231164188127,0.0,0.0
2023,MI,0.13511346736220123,0.0,0.0
2024,MI,0.1340543523305649,0.0,0.0
2025,MI,0.13010047039936962,0.0,0.0
2026,MI,0.1216677221925762,0.0,0.0
2027,MI,0.10925969833702168,0.0,0.0
2028,MI,0.09908723800056334,0.0,0.0
2029,MI,0.09085992114427795,0.0,0.0
2030,MI,0.38872778009636866,0.0,0.0
2031,MI,0.38474478923661537,0.0,0.0
2032,MI,0.3783119538745119,0.0,0.0
2033,MI,0.3708363317464457,0.0,0.0
2034,MI,0.362702316955171,0.0,0.0
2035,MI,0.44220736799020016,0.0,0.0
2036,MI,0.43983591597360977,0.0,0.0
2037,MI,0.44068008716564755,0.0,0.0
2038,MI,0.4442893389181026,0.0,0.0
2039,MI,0.4458375313208832,0.0,0.0
2040,MI,0.4487884684595088,0.0,0.0
2041,MI,0.45233799559528254,0.0,0.0
2042,MI,0.45489394331087296,0.0,0.0
2043,MI,0.4601150403273076,0.0,0.0
2044,MI,0.4662977580200647,0.0,0.0
2045,MI,0.47097224850740843,0.0,0.0
2046,MI,0.4720020655438913,0.0,0.0
2047,MI,0.47306983362922644,0.0,0.0
2048,MI,0.47440527297915674,0.0,0.0
2049,MI,0.4760168323291864,0.0,0.0
2050,MI,0.47686957596544394,0.0,0.0
2010,MN,0.10772672177133735,0.0,0.0
2011,MN,0.10731422210986293,0.0,0.0
2012,MN,0.14776776834858904,0.0,0.0
2013,MN,0.147322963700159,0.0,0.0
2014,MN,0.14674551440498573,0.0,0.0
2015,MN,0.14721248940773335,0.0,0.0
2016,MN,0.2062775938662552,0.0,0.0
2017,MN,0.20529466328769494,0.0,0.0
2018,MN,0.20530758547043068,0.0,0.0
2019,MN,0.2046966945443656,0.0,0.0
2020,MN,0.24375674092820115,0.0075700197890531075,0.0
2021,MN,0.2431047539143303,0.007670748942230362,0.0
2022,MN,0.24334060414181566,0.00761374807395959,0.0
2023,MN,0.1998288896678912,0.007634725487390041,0.0
2024,MN,0.19982888966789122,0.007598364321152527,0.0
2025,MN,0.24978611208486398,0.007624405226312316,0.0
2026,MN,0.24978611208486395,0.0076552793827342315,0.0
2027,MN,0.24978611208486398,0.007633366417541094,0.0
2028,MN,0.249786112084864,0.007636563868577012,0.0
2029,MN,0.24978611208486398,0.007638738794944575,0.0
2030,MN,0.24978611208486398,0.00764295593781786,0.0
2031,MN,0.249786112084864,0.007647712652147796,0.0
2032,MN,0.24978611208486398,0.007657271749804728,0.0
2033,MN,0.24978611208486398,0.007668716812042105,0.0
2034,MN,0.24978611208486398,0.007686980762512093,0.0
2035,MN,0.5495294465867009,0.007706954391162181,0.0
2036,MN,0.5495294465867009,0.007727687989021145,0.0
2037,MN,0.549529446586701,0.0077480503002240785,0.0
2038,MN,0.5495294465867008,0.007764188903549048,0.0
2039,MN,0.5495294465867009,0.007781594907632925,0.0
2040,MN,0.5495294465867008,0.007795297523967511,0.0
2041,MN,0.5495294465867008,0.007807904406218916,0.0
2042,MN,0.5495294465867008,0.007819082810567366,0.0
2043,MN,0.5495294465867009,0.007828707264928443,0.0
2044,MN,0.5495294465867008,0.007836096739397167,0.0
2045,MN,0.5495294465867007,0.007843667544011968,0.0
2046,MN,0.5495294465867008,0.007851854177121618,0.0
2047,MN,0.5495294465867008,0.007859055655090893,0.0
2048,MN,0.5495294465867008,0.007865485170091648,0.0
2049,MN,0.5495294465867008,0.007870792588208558,0.0
2050,MN,0.5495294465867008,0.007876256282831538,0.0
2010,MO,0.0,0.0,0.0
2011,MO,0.013640727528767087,0.0002065012796119335,0.0
2012,MO,0.013680707874047876,0.00020731661810316132,0.0
2013,MO,0.01362288940342539,0.00020630309387740888,0.0
2014,MO,0.03399492626488512,0.0005128565070557091,0.0
2015,MO,0.03402767517913964,0.0005131376740462335,0.0
2016,MO,0.0334388257052769,0.0005020343651923748,0.0
2017,MO,0.03334057935076454,0.0005003160745118965,0.0
2018,MO,0.0661430487805018,0.000989772459522614,0.0
2019,MO,0.06605624463830141,0.0009872416611184914,0.0
2020,MO,0.06584955972183068,0.0009853581024482781,0.0
2021,MO,0.09847813095510026,0.0014696166596279753,0.0
2022,MO,0.098489331486407,0.0014647862385608534,0.0
2023,MO,0.09829923616246654,0.0014662134584295114,0.0
2024,MO,0.09842209158467495,0.0014675906622423328,0.0
2025,MO,0.09842387765528836,0.0014675906622423328,0.0
2026,MO,0.09842513478236146,0.001467590662242333,0.0
2027,MO,0.0984249023565866,0.0014675906622423332,0.0
2028,MO,0.09842512872707192,0.0014675906622423332,0.0
2029,MO,0.09842528886042315,0.0014675906622423332,0.0
2030,MO,0.09842548218136901,0.0014675906622423332,0.0
2031,MO,0.09842564661768861,0.0014675906622423328,0.0
2032,MO,0.09842608010178165,0.001467590662242333,0.0
2033,MO,0.0984266049708646,0.0014675906622423325,0.0
2034,MO,0.09842739233946687,0.0014675906622423328,0.0
2035,MO,0.09842824099085276,0.0014675906622423328,0.0
2036,MO,0.0984290977799348,0.0014675906622423325,0.0
2037,MO,0.09842992028657736,0.0014675906622423325,0.0
2038,MO,0.09843054953997454,0.0014675906622423328,0.0
