r,st,interconnect,transgrp,transreg,nercr,hurdlereg
p91,FL,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p94,GA,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p95,SC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Carolinas_LLC
p96,SC,eastern,SERTP,SERTP,SERC_E,South_Carolina_Electric_Gas_Co
p101,FL,eastern,FRCC,FRCC,SERC_F,Seminole_Electric_Coop_Inc
p102,FL,eastern,FRCC,FRCC,SERC_F,Florida_Power_and_Light
p129,VT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p130,NH,eastern,ISONE,ISONE,NPCC_NE,ISONE
p131,MA,eastern,ISONE,ISONE,NPCC_NE,ISONE
p132,CT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p133,RI,eastern,ISONE,ISONE,NPCC_NE,ISONE
p134,ME,eastern,ISONE,ISONE,NPCC_NE,ISONE
FIPS_10001,DE,eastern,PJM_East,PJM,PJM,PJM
FIPS_10003,DE,eastern,PJM_East,PJM,PJM,PJM
FIPS_10005,DE,eastern,PJM_East,PJM,PJM,PJM
FIPS_11001,MD,eastern,PJM_East,PJM,PJM,PJM
FIPS_17001,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17003,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17005,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17007,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17009_17169,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17011,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17013,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17015,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17017,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17019,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17021,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17023_17045,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17025,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17027,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17029_17035,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17031,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17033,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17037,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17039,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17041,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17043,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17047_17191,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17049,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17051,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17053,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17055,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17057,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17059_17069,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17061,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17063,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17065_17193,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17067_17071,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17073,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17075,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17077_17181,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17079,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17081,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17083,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17085,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17087_17199,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17089,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17091,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17093,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17095_17187,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17097,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17099,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17101,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17103,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17105,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17107,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17109,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17111,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17113,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17115,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17117,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17119,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17121,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17123,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17125,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17127_17151,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17129,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17131_17161,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17133,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17135,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17137,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17139_17173,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17141,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17143_17175,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17145,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17147,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17149,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17153,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17155,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17157,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17159,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17163,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17165,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17167,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17171,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17177,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17179,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17183,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17185,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17189,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_17195,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17197,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17201,IL,eastern,PJM_West,PJM,PJM,PJM
FIPS_17203,IL,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18001,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18003,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18005,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18007,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18009,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18011,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18013,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18015,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18017,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18019,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18021,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18023,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18025,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18027,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18029_18115,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18031,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18033,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18035,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18037,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18039,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18041,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18043,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18045,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18047,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18049,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18051,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18053,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18055,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18057,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18059,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18061,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18063,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18065,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18067,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18069,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18071,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18073,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18075,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18077,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18079,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18081,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18083,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18085,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18087,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18089,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18091_18149,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18093,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18095,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18097,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18099,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18101,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18103,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18105,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18107,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18109,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18111,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18113,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18117,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18119,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18121,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18123,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18125,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18127,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18129,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18131,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18133,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18135,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18137,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18139,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18141,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18143,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18145,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18147,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18151,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18153,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18155,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18157,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18159,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18161,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18163,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18165,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18167,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18169,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18171,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18173,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18175,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18177,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18179,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18181,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_18183,IN,eastern,MISO_Central,MISO,MISO,MISO
FIPS_19001,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19003,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19005,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19007,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19009,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19011,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19013,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19015,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19017,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19019,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19021,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19023,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19025,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19027,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19029,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19031,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19033,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19035,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19037,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19039,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19041,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19043,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19045,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19047,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19049,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19051,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19053,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19055,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19057,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19059,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19061,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19063,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19065,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19067,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19069,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19071,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19073,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19075,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19077,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19079,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19081,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19083,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19085,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19087,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19089,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19091,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19093,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19095,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19097,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19099,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19101,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19103,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19105,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19107,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19109,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19111,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19113,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19115,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19117,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19119,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19121,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19123,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19125,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19127,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19129,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19131,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19133,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19135,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19137,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19139,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19141,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19143,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19145,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19147,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19149,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19151,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19153,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19155,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19157,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19159,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19161,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19163,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19165,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19167,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19169,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19171,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19173,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19175,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19177,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19179,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19181,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19183,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19185,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19187,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19189,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19191,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19193,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19195,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_19197,IA,eastern,MISO_North,MISO,MISO,MISO
FIPS_21001,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21003,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21005,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21007,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21009,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21011,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21013,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21015,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21017,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21019,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21021,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21023_21201,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21025,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21027,KY,eastern,MISO_Central,MISO,MISO,MISO
FIPS_21029,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21031_21061_21227,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21033,KY,eastern,MISO_Central,MISO,MISO,MISO
FIPS_21035,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21037,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21039,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21041,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21043,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21045,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21047,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21049,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21051,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21053,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21055,KY,eastern,MISO_Central,MISO,MISO,MISO
FIPS_21057,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
FIPS_21059,KY,eastern,MISO_Central,MISO,MISO,MISO
FIPS_21063,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21065,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21067,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21069,KY,eastern,PJM_East,PJM,PJM,PJM
FIPS_21071,KY,eastern,PJM_East,PJM,PJM,PJM
