technology,network_id,X,Y,capacity_kgperyr,capacity_kgperday
SMR,"@ Lemont, IL",-88.024263,41.664921,103473464.4,283488.9436
SMR,"@ Lima, OH",-84.109645,40.743136,44321339.26,121428.3267
SMR,"@ Lincoln, NE",-96.685744,40.825377,1862520.273,5102.795268
SMR,"@ Linden, NJ",-74.219185,40.640032,26816786.62,73470.64827
SMR,"@ Longview, TX",-94.7539,32.5091,41509.18734,113.7238009
SMR,"@ Longview, WA",-122.994,46.1425,4138898.018,11339.44662
SMR,"@ Louisville, KY",-85.758456,38.252665,620840.0909,1700.931756
SMR,"@ Luling, LA",-90.361104,29.934167,107784561.4,295300.1682
SMR,"@ Mankato, MN",-93.99535,44.1651,2414566.993,6615.252035
SMR,"@ Mapleton, IL",-89.7152,40.5717,3311261.448,9071.949173
SMR,"@ Marcus Hook, PA",-75.4156,39.8182,5173713.143,14174.55656
SMR,"@ Martinez, CA",-122.226826,38.079713,285413782.4,781955.5682
SMR,"@ McIntosh, AL",-88.0279,31.265,24661282.22,67565.15677
SMR,"@ McPherson, KS",-97.668697,38.347141,92005074.53,252068.6974
SMR,"@ Memphis, TN",-89.959575,35.18765,7546770.947,20676.08479
SMR,"@ Middleton, OH",-84.397463,39.488846,862346.754,2362.593847
SMR,"@ Midland, MI",-84.196565,43.584322,646581.2733,1771.455543
SMR,"@ Mobile, AL",-88.054896,30.721983,9743828.627,26695.42089
SMR,"@ Mont Belvieu, TX",-94.8813,29.8518,50012442.82,137020.3913
SMR,"@ Mont Belview, TX",-94.912352,29.855275,34491303.39,94496.72163
SMR,"@ Moses Lake, WA",-119.2873,47.1155,3276556.162,8976.866197
SMR,"@ Mount Vernon, IN",-87.8987,37.9361,2327972.773,6378.007598
SMR,"@ New Castle, DE",-75.5481,39.6904,2483267.294,6803.472038
SMR,"@ New Orleans, LA",-89.911533,30.039767,74845478.27,205056.1048
SMR,"@ Newell, WV",-80.6234,40.5975,3535256.27,9685.633616
SMR,"@ Niagara Falls, NY",-79.019767,43.087,27075491.63,74179.42911
SMR,"@ Norco, LA",-90.411554,30.001446,159521594.9,437045.4654
SMR,"@ Norcross, GA",-84.218664,33.925755,3431782.105,9402.142753
SMR,"@ Ontario, CA",-117.5415,34.0627,8277796.033,22678.89324
SMR,"@ Pasadena, TX",-95.1522,29.6608,68982249.2,188992.4636
SMR,"@ Pascagoula, MS",-88.52705,30.37775,189700914.7,519728.5333
SMR,"@ Paulsboro, NJ",-75.24,39.8399,11640588.83,31892.0242
SMR,"@ Pensacola, FL",-87.2607,30.5694,9916252.907,27167.81618
SMR,"@ Petrolia, PA",-79.721,41.0133,1293520.131,3543.890771
SMR,"@ Plaquemine, LA",-91.230233,30.281967,71913863.73,197024.2842
SMR,"@ Point Comfort, TX",-96.5573,28.6724,19056395.7,52209.30329
SMR,"@ Ponca City, OK",-97.0724,36.7124,40354532.43,110560.3628
SMR,"@ Port Arthur, TX",-92.771619,31.863238,483737674.8,1325308.698
SMR,"@ Port Edwards, WI",-89.8893,44.3153,1810925.245,4961.439026
SMR,"@ Princeton, LA",-94.39706,31.218486,7760390.92,21261.34499
SMR,"@ Proctor, WV",-80.823788,39.710263,431173.3771,1181.296923
SMR,"@ Raleigh, NC",-78.6585,35.8221,683079.38,1871.450356
SMR,"@ Richmond, CA",-122.385817,37.929263,465630259.3,1275699.34
SMR,"@ Rockport, IN",-87.0509,37.8837,620815.5989,1700.864654
SMR,"@ Rodeo, CA",-122.256357,38.038639,181940866.6,498468.1277
SMR,"@ Rouseville, PA",-79.8231,41.407,3017851.157,8268.085361
SMR,"@ Sacramento, CA",-121.398,38.53,1983393.615,5433.955111
SMR,"@ Salina, KS",-97.6181,38.8158,103410.4855,283.3163985
SMR,"@ Salt Lake City, UT",-112.020392,40.722009,22419183.6,61422.42082
SMR,"@ Saraland, AL",-88.082036,30.797321,13796450.82,37798.4954
SMR,"@ Sauget, IL",-90.1684,38.5946,1293520.131,3543.890771
SMR,"@ Seymour, IN",-85.8864,38.9585,655168.1987,1794.981366
SMR,"@ Shreveport, LA",-93.7909,32.4708,5259949.778,14410.82131
SMR,"@ Sidney, OH",-84.1632,40.2889,1293520.131,3543.890771
SMR,"@ Silsbee, TX",-94.2289,30.3997,258705.0059,708.7808382
SMR,"@ Sioux City, IA",-96.3887,42.5084,724226.0847,1984.181054
SMR,"@ Smackover, AR",-92.731,33.3682,2155861.987,5906.471196
SMR,"@ St. Charles, LA",-90.556691,29.869813,288863291.9,791406.2793
SMR,"@ St. Gabriel, LA",-91.108386,30.24176,4656308.03,12757.0083
SMR,"@ St. Joseph, MO",-94.8214,39.7592,2069630.251,5670.219865
SMR,"@ St. Marys, PA",-78.56094,41.427374,248335.0567,680.3700183
SMR,"@ St. Paul Park, MN",-93.0032,44.8532,6898401.753,18899.73083
SMR,"@ St. Paul, MN",-93.1039,44.9477,143569380,393340.7671
SMR,"@ Stuttgart, AR",-91.551,34.4936,869145.7573,2381.221253
SMR,"@ Sweeney, TX",-95.6986,29.0389,142275864.8,389796.8899
SMR,"@ Taft, LA",-90.4481,29.9911,36991744.54,101347.2453
SMR,"@ Texas City, TX",-94.917427,29.380903,368621545,1009922.041
SMR,"@ Theodore, AL",-88.1237,30.5171,6036059.897,16537.1504
SMR,"@ Three Rivers, TX",-98.1782,28.4659,8622737.673,23623.93883
SMR,"@ Toledo, OH",-83.541766,41.647964,196598157.3,538625.0886
SMR,"@ Torrance, CA",-118.336,33.8581,137964493.5,377984.9138
SMR,"@ Tuscaloosa, AL",-87.6101,33.1976,13796450.82,37798.4954
SMR,"@ Valdosta, GA",-83.2782,30.8496,5604886.52,15355.85348
SMR,"@ Vicksburg, MS",-90.8709,32.3292,11209773.04,30711.70696
SMR,"@ Victoria, TX",-96.9452,28.6666,7760390.92,21261.34499
SMR,"@ Weirton, WV",-80.5639,40.401,931404.64,2551.793534
SMR,"@ West Leechburg, PA",-79.6089,40.6284,1655630.724,4535.974586
SMR,"@ Westlake, LA",-93.2591,30.2513,30179574.52,82683.76581
SMR,"@ Whiting, IN",-87.481571,41.667779,262389558.2,718875.5019
SMR,"@ Wichita, KS",-97.37635,37.6466,6977839.387,19117.36818
SMR,"@ Wilmington, CA",-118.253533,33.783867,218586109.1,598866.0524
SMR,"@ Wood River, IL",-90.066,38.8411,83209868.47,227972.2424
SMR,"@ Wright, WY",-105.4986,43.7507,206820.9709,566.6327971
SMR,"@ Wynneywood, OK",-97.168001,34.636951,7760390.92,21261.34499
SMR-ammonia,1,-81.93,33.44,1.13E+08,309589.0411
SMR-ammonia,2,-96.84,40.32,5.10E+07,139726.0274
SMR-ammonia,3,-94.03,30.02,4.70E+07,128767.1233
SMR-ammonia,4,-101.84,47.36,5.40E+07,147945.2055
SMR-ammonia,5,-101.43,35.64,6.40E+07,175342.4658
SMR-ammonia,6,-87.93,34.81,2.40E+07,65753.42466
SMR-ammonia,7,-104.91,41.1,2.70E+07,73972.60274
SMR-ammonia,8,-95.61,37.05,6.10E+07,167123.2877
SMR-ammonia,9,-94.36,41.12,6.00E+06,16438.35616
SMR-ammonia,10,-99.93,37.78,4.20E+07,115068.4932
SMR-ammonia,11,-90.96,30.1,6.06E+08,1660273.973
SMR-ammonia,12,-90.56,42.44,5.00E+07,136986.3014
SMR-ammonia,15,-92.69,33.27,7.20E+07,197260.274
SMR-ammonia,16,-97.76,36.38,1.68E+08,460273.9726
SMR-ammonia,18,-94.02,42.5,5.10E+07,139726.0274
SMR-ammonia,20,-91.05,30.23,7.10E+07,194520.5479
SMR-ammonia,21,-97.58,40.54,5.00E+06,13698.63014
SMR-ammonia,23,-83.01,36.19,9.00E+06,24657.53425
SMR-ammonia,25,-77.27,37.3,8.30E+07,227397.2603
SMR-ammonia,29,-84.13,40.71,1.06E+08,290410.9589
SMR-ammonia,37,-96.38,42.33,1.85E+08,506849.3151
SMR-ammonia,38,-95.28,36.24,3.60E+07,98630.13699
SMR-ammonia,39,-109.13,41.54,2.80E+07,76712.32877
SMR-ammonia,41,-122.83,45.91,1.50E+07,41095.89041
SMR-ammonia,43,-95.72,36.23,1.64E+08,449315.0685
SMR-ammonia,44,-90.27,29.96,1.30E+08,356164.3836
SMR-ammonia,46,-91.23,40.69,1.24E+08,339726.0274
SMR-ammonia,47,-99.47,36.44,6.40E+07,175342.4658
SMR-ammonia,48,-90.38,32.9,8.10E+07,221917.8082
