r,st,transreg,transgrp,nercr,interconnect,aggreg
WA_W,WA,NorthernGrid,NorthernGrid_West,WECC_NW,western,WA
WA_E,WA,NorthernGrid,NorthernGrid_West,WECC_NW,western,WA
OR_W,OR,NorthernGrid,NorthernGrid_West,WECC_NW,western,OR
OR_E,OR,NorthernGrid,NorthernGrid_West,WECC_NW,western,OR
CA_N,CA,CAISO,CAISO,WECC_CA,western,CA
CA_S,CA,CAISO,CAISO,WECC_CA,western,CA
CA_LA,CA,CAISO,CAISO,WECC_CA,western,CA
CA_SE,CA,CAISO,CAISO,WECC_CA,western,CA
ID_N,ID,NorthernGrid,NorthernGrid_East,WECC_NW,western,ID
ID_S,ID,NorthernGrid,NorthernGrid_East,WECC_NW,western,ID
MT_W,MT,NorthernGrid,NorthernGrid_East,WECC_NW,western,MT
MT_C,MT,NorthernGrid,NorthernGrid_East,WECC_NW,western,MT
MT_E,MT,SPP,SPP_North,SPP,eastern,MT
NV_N,NV,NorthernGrid,NorthernGrid_South,WECC_NW,western,NV
NV_LV,NV,NorthernGrid,NorthernGrid_South,WECC_NW,western,NV
UT,UT,NorthernGrid,NorthernGrid_South,WECC_NW,western,UT
WY_W,WY,NorthernGrid,NorthernGrid_East,WECC_NW,western,WY_W
WY_E,WY,WestConnect,WestConnect_North,WECC_NW,western,WY_E
CO_W,CO,WestConnect,WestConnect_North,WECC_NW,western,CO
CO_E,CO,WestConnect,WestConnect_North,WECC_NW,western,CO
AZ_N,AZ,WestConnect,WestConnect_South,WECC_SW,western,AZ
AZ_S,AZ,WestConnect,WestConnect_South,WECC_SW,western,AZ
NM_W,NM,WestConnect,WestConnect_South,WECC_SW,western,NM_W
NM_E,NM,SPP,SPP_South,SPP,eastern,NM_E
TX_EP,TX,WestConnect,WestConnect_South,WestConnect,western,TX_EP
TX_N,TX,ERCOT,ERCOT,ERCOT,texas,TX_E
TX_W,TX,ERCOT,ERCOT,ERCOT,texas,TX_W
TX_S,TX,ERCOT,ERCOT,ERCOT,texas,TX_E
TX_PAN,TX,SPP,SPP_South,SPP,eastern,TX_PAN
TX_SPP,TX,SPP,SPP_South,SPP,eastern,TX_SPP
TX_HOU,TX,ERCOT,ERCOT,ERCOT,texas,TX_E
TX_MISO,TX,MISO,MISO_South,MISO,eastern,TX_MISO
ND_SPP,ND,SPP,SPP_North,SPP,eastern,ND_SPP
ND_MISO,ND,MISO,MISO_North,MISO,eastern,ND_MISO
SD,SD,SPP,SPP_North,SPP,eastern,SD
NE,NE,SPP,SPP_North,SPP,eastern,NE
KS,KS,SPP,SPP_South,SPP,eastern,KS
OK,OK,SPP,SPP_South,SPP,eastern,OK
MN_N,MN,MISO,MISO_North,MISO,eastern,MN
MN_S,MN,MISO,MISO_North,MISO,eastern,MN
WI_W,WI,MISO,MISO_North,MISO,eastern,WI
WI_E,WI,MISO,MISO_North,MISO,eastern,WI
IA,IA,MISO,MISO_Central,MISO,eastern,IA
MO_SPP,MO,SPP,SPP_South,SPP,eastern,MO_SPP
MO_MISO,MO,MISO,MISO_Central,MISO,eastern,MO_MISO
MO_SE,MO,SERTP,SERTP,SERC_C,eastern,MO_SE
AR_SPP,AR,SPP,SPP_South,SPP,eastern,AR_SPP
AR_MISO,AR,MISO,MISO_South,MISO,eastern,AR_MISO
LA,LA,MISO,MISO_South,MISO,eastern,LA
MI_UP,MI,MISO,MISO_North,MISO,eastern,MI_MISO
MI_LP,MI,MISO,MISO_North,MISO,eastern,MI_MISO
MI_PJM,MI,PJM,PJM_West,PJM,eastern,MI_PJM
IL_PJM,IL,PJM,PJM_West,PJM,eastern,IL_PJM
IL_MISO,IL,MISO,MISO_Central,MISO,eastern,IL_MISO
IN_PJM,IN,PJM,PJM_West,PJM,eastern,IN_PJM
IN_MISO,IN,MISO,MISO_Central,MISO,eastern,IN_MISO
KY_PJM,KY,PJM,PJM_East,PJM,eastern,KY_PJM
KY_MISO,KY,MISO,MISO_Central,MISO,eastern,KY_MISO
MS_MISO,MS,MISO,MISO_South,MISO,eastern,MS_MISO
MS_SE,MS,SERTP,SERTP,SERC_C,eastern,MS_SE
TN,TN,SERTP,SERTP,SERC_C,eastern,TN
AL,AL,SERTP,SERTP,SERC_SE,eastern,AL
GA_N,GA,SERTP,SERTP,SERC_SE,eastern,GA
GA_S,GA,SERTP,SERTP,SERC_SE,eastern,GA
SC,SC,SERTP,SERTP,SERC_E,eastern,SC
NC_SE,NC,SERTP,SERTP,SERC_E,eastern,NC_SE
NC_PJM,NC,PJM,PJM_East,SERC_E,eastern,NC_PJM
FL_N,FL,FRCC,FRCC,SERC_F,eastern,FL
FL_S,FL,FRCC,FRCC,SERC_F,eastern,FL
FL_SE,FL,FRCC,FRCC,SERC_F,eastern,FL
OH_N,OH,PJM,PJM_East,PJM,eastern,OH
OH_S,OH,PJM,PJM_East,PJM,eastern,OH
WV,WV,PJM,PJM_East,PJM,eastern,WV
VA_W,VA,PJM,PJM_East,PJM,eastern,VA
VA_E,VA,PJM,PJM_East,PJM,eastern,VA
PA_W,PA,PJM,PJM_East,PJM,eastern,PA
PA_E,PA,PJM,PJM_East,PJM,eastern,PA
MD,MD,PJM,PJM_East,PJM,eastern,MD
DE,DE,PJM,PJM_East,PJM,eastern,DE
NJ,NJ,PJM,PJM_East,PJM,eastern,NJ
NY_W,NY,NYISO,NYISO,NPCC_NY,eastern,NY
NY_E,NY,NYISO,NYISO,NPCC_NY,eastern,NY
NY_NYC,NY,NYISO,NYISO,NPCC_NY,eastern,NY
NY_LI,NY,NYISO,NYISO,NPCC_NY,eastern,NY
VT,VT,ISONE,ISONE,NPCC_NE,eastern,VT
NH,NH,ISONE,ISONE,NPCC_NE,eastern,NH
MA,MA,ISONE,ISONE,NPCC_NE,eastern,MA
